Category: Health
TOP
Pain,100
Hospital,91
Glasses,90
Portugal,74
Pharmacy,70
2026,66
Disease or medical condition,57
Food,54
Symptom,51
Medicine,51
Price,49
Day,48
Pharmaceutical drug,46
Health,45
Magnesium,41
Medical Treatment,40
Calorie,40
Tooth,40
Lisbon,38
Physician,38
Surgery,36
Cancer,36
Porto,36
Vitamin,35
Woman,34

RISING
Eclipse,Breakout
Solar eclipse,Breakout
Kidney,"+2,500%"
Medical Treatment,+650%
July,+500%
Wells,+350%
September,+350%
FIFA World Cup 2026™,+190%
FIFA World Cup,+140%
Party,+100%
Temperature,+90%
Sun,+80%
Glasses,+80%
good,+80%
Heat,+60%
Tooth,+60%
create,+50%

