"query","search interest","increase percent"
"wordwall alimentação",2,"Breakout"
"wordwall alimentação saudável",1,"Breakout"
"alimentação cetogénica",2,"800%"
"alimentação anti inflamatória",3,"700%"
"alimentação anti-inflamatória",1,"400%"
"importância da alimentação saudável",2,"350%"
"alimentação saudável dos 0 aos 6 anos",1,"350%"
"up alimentação",2,"190%"
"cadeira portatil de alimentação",2,"190%"
"cadeira de alimentação portatil",2,"190%"
"cadeira alimentação portatil",3,"170%"
"texto sobre alimentação saudável",1,"160%"
"dia europeu da alimentação e cozinha saudáveis",2,"150%"
"plano de alimentação saudável",2,"150%"
"alimentação mediterrânea",3,"130%"
"dieta mediterrânea",1,"120%"
"santander",9,"120%"
"santander alimentação",9,"120%"
"como ter uma alimentação saudável",2,"110%"
"cadeira alimentação",19,"100%"
"cadeira alimentação bebe",7,"100%"
"cadeira de alimentação bebe",4,"90%"
"dia europeu da alimentação e da cozinha saudáveis",2,"90%"
"importância da alimentação",6,"80%"
"alimentação enteral",3,"80%"
"cadeira de alimentação",10,"80%"
"alimentação por sonda",3,"70%"
"canção da alimentação",2,"70%"
"subsidio de alimentação",3,"60%"
"dieta mediterrânica",3,"60%"
"cadeira alimentação chicco",8,"60%"
"cadeira chicco alimentação",8,"60%"
"o que é a alimentação",11,"60%"
"alimentação blw",4,"50%"
"frases sobre alimentação saudável",1,"50%"
"alimentação sustentável",3,"50%"
"alimentação keto",1,"50%"
"chicco",8,"50%"
"blw alimentação",3,"50%"
"peg",7,"50%"
"alimentação rica em fibras",1,"40%"
"o que é uma alimentação saudável",3,"40%"
"alimentação parenteral",3,"40%"
"hipotireoidismo alimentação",1,"40%"
"alimentos saudáveis",2,"40%"
"alimentação na menopausa",2,"40%"
"alimentação em ingles",2,"40%"
"alimentação saudável",100,"40%"
"alimentação para diabéticos",3,"30%"
"cadeira refeição bebe",2,"30%"
