"query","search interest","increase percent"
"mounjaro",1,"Breakout"
"mounjaro para emagrecer",1,"Breakout"
"ozempic portugal",1,"Breakout"
"wegovy",0,"Breakout"
"manjaro emagrecer",0,"Breakout"
"canetas para emagrecer",0,"Breakout"
"cetonas para emagrecer nat",0,"Breakout"
"como acelerar o metabolismo para emagrecer mais rápido",0,"Breakout"
"fat burn active",0,"Breakout"
"emagrecer 5 kg com jejum intermitente",0,"Breakout"
"ozempic",3,"Breakout"
"ozempic para emagrecer",2,"Breakout"
"ozempic emagrecer",3,"Breakout"
"remédio para emagrecer rápido vendido em farmácia",0,"2,550%"
"cetonas",1,"1,350%"
"cetonas para emagrecer",1,"1,300%"
"caneta para emagrecer",1,"1,200%"
"semaglutida",0,"950%"
"trulicity para emagrecer",0,"800%"
"creatina ajuda a emagrecer",0,"700%"
"insulina para emagrecer",1,"700%"
"injeção para emagrecer",0,"600%"
"dieta líquida para emagrecer 1kg por dia",0,"550%"
"insulina emagrecer",1,"500%"
"comprimidos para emagrecer rápido",1,"500%"
"medicacao para emagrecer",0,"500%"
"saxenda",1,"400%"
"pensos para emagrecer",1,"350%"
"receitas de comidas saudáveis para emagrecer",0,"300%"
"calcular calorias para emagrecer",0,"250%"
"como emagrecer rápido",3,"200%"
"emagrecer na menopausa",1,"200%"
"como fazer jejum intermitente para emagrecer",0,"190%"
"como tomar whey protein para emagrecer",0,"180%"
"metformina",1,"170%"
"medicação para emagrecer",1,"160%"
"como emagrecer na menopausa",0,"160%"
"metformina emagrecer",1,"160%"
"metformina para emagrecer",1,"150%"
"medicamento para emagrecer",3,"150%"
"remédio para emagrecer",2,"150%"
"jejum intermitente",1,"150%"
"emagrecer rápido",9,"140%"
"como emagrecer muito rapido",0,"130%"
"comprimidos para emagrecer wells",1,"120%"
"alimentos ricos em proteínas emagrecer",0,"120%"
"comprimido para emagrecer",1,"120%"
"dietas para emagrecer rápido",1,"110%"
"emagrecer sem dietas",0,"100%"
"suplemento alimentar para emagrecer",0,"90%"
