"query","search interest","increase percent"
"ozempic portugal",100,"7%"
"emagrecer",85,"-40%"
"ozempic emagrecer",85,"-60%"
"ozempic para emagrecer",72,"-50%"
"ozempic preço",54,"-3%"
"preço ozempic",54,"-40%"
"ozempic diabetes",41,"Breakout"
"comprar ozempic",36,"Breakout"
"ozempic comprar",36,"Breakout"
"medicamento ozempic",34,"Breakout"
"ozempic medicamento",34,"Breakout"
"ozempic portugal preço",34,"Breakout"
"ozempic preço portugal",34,"Breakout"
"mounjaro",31,"Breakout"
"bula ozempic",31,"-70%"
"ozempic bula",30,"-50%"
"ozempic infarmed",29,"-80%"
"ozempic comprimidos",29,"Breakout"
"ozempic 1mg",26,"Breakout"
"wegovy",24,"Breakout"
"ozempic efeitos secundários",24,"Breakout"
"ozempic farmacia",23,"Breakout"
"insulina ozempic",19,"Breakout"
"ozempic efeitos colaterais",18,"Breakout"
"insulina",18,"Breakout"
"ozempic obesidade",18,"Breakout"
"efeitos colaterais ozempic",18,"Breakout"
"ozempic side effects",18,"Breakout"
"ozempic comparticipação",17,"Breakout"
"semaglutida",17,"-80%"
"ozempic para emagrecer portugal",16,"Breakout"
"saxenda",16,"Breakout"
"ozempic portugal comprar",16,"Breakout"
"ozempic emagrece",14,"Breakout"
"semaglutide",12,"Breakout"
"ozempic como tomar",12,"Breakout"
"wegovy portugal",12,"Breakout"
"mounjaro portugal",11,"Breakout"
"ozempic comprar online",11,"Breakout"
"comprar ozempic online",11,"Breakout"
"ozempic sem receita",11,"Breakout"
"trulicity",10,"Breakout"
"victoza",10,"Breakout"
"medicamento diabetes",10,"Breakout"
"ozempic weight loss",10,"Breakout"
"ozempic 1 mg",10,"Breakout"
"ozempic efeitos secundarios",10,"Breakout"
"metformina",10,"Breakout"
"semaglutido",9,"Breakout"
"ozempic valor",9,"Breakout"
