"query","search interest","increase percent"
"para emagrecer",100,"5%"
"como emagrecer",19,"-10%"
"dieta",12,"-20%"
"dieta para emagrecer",9,"-20%"
"emagrecer rápido",9,"140%"
"comprimidos emagrecer",7,"30%"
"comprimidos para emagrecer",6,"30%"
"emagrecer rapido",5,"-60%"
"chá para emagrecer",5,"9%"
"emagrecer barriga",4,"-20%"
"receitas para emagrecer",4,"-50%"
"calorias para emagrecer",3,"60%"
"medicamento para emagrecer",3,"150%"
"ozempic emagrecer",3,"Breakout"
"ozempic",3,"Breakout"
"detox",3,"-10%"
"plano para emagrecer",3,"-10%"
"como emagrecer rápido",3,"200%"
"cha para emagrecer",3,"-20%"
"perder peso",3,"3%"
"emagrecer 10kg",3,"70%"
"detox para emagrecer",2,"-10%"
"produtos para emagrecer",2,"-20%"
"ozempic para emagrecer",2,"Breakout"
"dietas para emagrecer",2,"-40%"
"prozis emagrecer",2,"10%"
"remedio para emagrecer",2,"40%"
"alimentos para emagrecer",2,"-10%"
"batidos para emagrecer",2,"-30%"
"remédio para emagrecer",2,"150%"
"suplementos para emagrecer",2,"30%"
"como emagrecer rapido",2,"-50%"
"emagrecer saudável",2,"-7%"
"sopa para emagrecer",2,"-20%"
"suplemento para emagrecer",2,"80%"
"emagrecer rapidamente",2,"-30%"
"cetonas",1,"1,350%"
"mounjaro",1,"Breakout"
"metformina",1,"170%"
"metformina emagrecer",1,"160%"
"cetonas para emagrecer",1,"1,300%"
"medicamentos para emagrecer",1,"40%"
"insulina emagrecer",1,"500%"
"o que fazer para emagrecer",1,"20%"
"chás para emagrecer",1,"-20%"
"exercícios para emagrecer",1,"3%"
"plano alimentar para emagrecer",1,"-20%"
"mounjaro para emagrecer",1,"Breakout"
"dietas para emagrecer rápido",1,"110%"
"metformina para emagrecer",1,"150%"
