"query","search interest","increase percent"
"fazer jejum intermitente",100,"110%"
"o que é jejum intermitente",71,"60%"
"jejum intermitente o que é",71,"60%"
"o que é o jejum intermitente",71,"50%"
"livro jejum intermitente",66,"20%"
"jejum intermitente livro",66,"20%"
"jejum intermitente 16h",54,"120%"
"como fazer jejum intermitente",53,"90%"
"jejum intermitente para emagrecer",53,"140%"
"jejum intermitente como fazer",51,"90%"
"dieta jejum intermitente",49,"7%"
"jejum intermitente dieta",47,"3%"
"jejum intermitente app",42,"120%"
"app jejum intermitente",40,"110%"
"quebrar jejum intermitente",27,"150%"
"jejum intermitente como fazer para emagrecer",26,"180%"
"como fazer jejum intermitente para emagrecer",26,"160%"
"jejum intermitente funciona",22,"90%"
"jejum intermitente 12h",18,"60%"
"jejum intermitente grátis",18,"300%"
"jejum intermitente resultados",15,"4%"
"como quebrar jejum intermitente",15,"300%"
"plano jejum intermitente",15,"30%"
"jejum intermitente todos os dias",14,"110%"
"como quebrar o jejum intermitente",14,"250%"
"jejum intermitente gratuito",14,"500%"
"jejum intermitente pdf",13,"-40%"
"jejum intermitente portugal",13,"-40%"
"app jejum intermitente grátis",12,"550%"
"app grátis jejum intermitente",11,"400%"
"o que e jejum intermitente",11,"50%"
"jejum intermitente 16/8",11,"Breakout"
"cetose jejum intermitente",9,"90%"
"cetose",9,"70%"
"jejum intermitente 14h",9,"400%"
"intermittent fasting",9,"-20%"
"tabela jejum intermitente",9,"250%"
"dieta cetogenica",9,"0%"
"jejum intermitente tabela",8,"200%"
"dieta para emagrecer",7,"70%"
"o poder do jejum intermitente",7,"-30%"
"dieta cetogênica",7,"600%"
"autofagia",7,"250%"
"plano de jejum intermitente",6,"50%"
"calcular jejum intermitente",6,"Breakout"
"app jejum intermitente gratuito",6,"250%"
"jejum intermitente app gratuito",6,"250%"
"como se faz o jejum intermitente",6,"300%"
"jejum intermitente benefícios",6,"80%"
"como fazer o jejum intermitente para emagrecer",5,"Breakout"
