id,url,titulo,fonte,categoria,notas,ordem,created_at,eixo,subcategoria
2a843bac-cb88-48ee-afe0-fbd659734bd2,https://ffms.pt/pt-pt/ffms-play/da-capa-contracapa-podcast/video-redes-sociais-uma-ameaca-sociedade-e-democracia,"Redes Sociais: uma ameaça à sociedade e à democracia?",FFMS,desinformacao,"Análise do papel das redes sociais na erosão do debate democrático e na amplificação de narrativas polarizadoras em Portugal.",2,"2026-03-13 09:04:48.804903+00",,
60a86db8-c0e4-486b-90eb-10f8243ccfd9,https://www.nationalacademies.org/read/5287/chapter/5,"Science Literacy and Public Perception","National Academies",dunning_kruger,"Relatório das Academias Nacionais dos EUA sobre o que a investigação diz acerca de como o público compreende e avalia a ciência.",13,"2026-03-13 14:51:21.666717+00",,
fc0065f0-dfe9-4d15-bbd1-9bcb90ca26cd,https://www.publico.pt/2025/12/11/impar/noticia/cientistas-alertam-conselhos-medicos-influenciadores-sao-perigosos-2157741,"Cientistas alertam: influenciadores de saúde são perigosos",Público,desinformacao,"Reportagem sobre o risco real dos influenciadores de saúde sem formação — o contexto português e o silêncio regulatório.",16,"2026-03-13 14:51:21.666717+00",,
0f643119-ae68-4a75-bbb9-06ba2d2acbd7,https://journals.sagepub.com/doi/full/10.1177/20539517211013867,"The case for tracking misinformation the way we track disease","Sage Journals — Big Data & Society",desinformacao,"While public health organizations can detect disease spread, few can monitor and respond to real-time misinformation. Misinformation risks the public's health, the credibility of institutions, and the safety of experts and front-line workers.",0,"2026-03-13 10:27:52.418847+00",,
6aa18b23-163e-4491-8f5d-f5c2939cad1e,https://dl.acm.org/doi/10.1145/3485447.3512266,"Moral Emotions Shape the Virality of COVID-19 Misinformation on Social Media","ACM Web Conference, 2022",comunicacao_cientifica,"Rumores falsos são mais virais quando mobilizam emoções de condenação do outro — padrão verificado em desinformação de saúde e política.",100,"2026-03-13 15:05:25.845307+00",,
655453d8-9444-49dd-958a-d61cd6405179,https://pmc.ncbi.nlm.nih.gov/articles/PMC8991995/,"Emotion, Analytic Thinking and Susceptibility to Misinformation during COVID-19","Frontiers in Psychology / PMC, 2022",comunicacao_cientifica,"Afirmações falsas desencadeiam pensamento emocional que coloca utilizadores em risco — papel da emoção na aceitação e partilha de desinformação.",101,"2026-03-13 15:05:25.845307+00",,
c3330f1f-3aff-4604-b158-307a9ddf4d49,https://www.mdpi.com/2673-8392/5/4/195,"Health Communication in the Age of Platforms: Drivers of Misinformation and the Crisis of Medical Expertise","Encyclopedia (MDPI), 2025",comunicacao_cientifica,"Plataformas operam segundo um modelo de atenção que privilegia viralidade sobre factualidade, favorecendo narrativas negativas e emocionalmente carregadas.",102,"2026-03-13 15:05:25.845307+00",,
8e742446-88e5-4ce1-8ef2-119d35126af5,https://emcausa.org/elogio-do-aborrecimento/,"Elogio do Aborrecimento","Em Causa",dunning_kruger,"Ensaio sobre o valor do pensamento lento e da pausa reflexiva num ecossistema mediático que incentiva a reação imediata e emocional.",10,"2026-03-13 14:51:21.666717+00",,
9f4f4de0-2081-4fb5-a25e-0fa237580d44,https://shifter.pt/2024/03/joana-goncalves-sa-ciencia-entrevista/,"Joana Gonçalves-Sá: ciência e desinformação",Shifter,dunning_kruger,"Joana Gonçalves-Sá explica como a ciência é distorcida, instrumentalizada e como desenvolver imunidade à desinformação.",11,"2026-03-13 14:51:21.666717+00",,
99c900c3-e892-40a3-b202-a50370a5a2ac,https://www.acad-ciencias.pt/books/como-dialogar-com-quem-nao-quer-ouvir-para-la-da-polarizacao-e-da-desinformacao/,"Como Dialogar com quem não quer ouvir","Academia das Ciências de Lisboa",dunning_kruger,"Estratégias concretas para conversas com quem recusa escutar — como manter o diálogo aberto sem reforçar a resistência.",0,"2026-03-13 09:52:07.45368+00",,
7b892821-678a-4856-9b8a-c4544b80252a,https://www.pordata.pt/portugal,"Base de Dados de Portugal",Pordata,igualdade_social,"Dados abertos sobre Portugal: indicadores sociais, económicos e demográficos para contextualizar desigualdades no acesso à saúde.",1,"2026-03-13 09:04:48.804903+00",,
f469ed3f-da78-443e-b857-e84749956f61,https://www.fnam.pt/seccoes/comunicados/novo-despacho-do-ministerio-da-saude-ameaca-destruir-os-cuidados-de-saude-primarios,"Despacho ameaça destruir os CSP",FNAM,cuidados_saude_primarios,"Notícia sobre medidas legislativas que ameaçam a autonomia dos médicos de família — sinal de alerta para o enfraquecimento dos CSP.",21,"2026-03-13 14:51:21.666717+00",,
1c6e67a1-a25a-4d4e-a38f-4be904eadb98,https://ffms.pt/pt-pt/ffms-play/da-capa-contracapa-podcast/ciencia-e-pseudociencia-portuguesa,"Ciência e Pseudociência Portuguesa (podcast)",FFMS,dunning_kruger,"Podcast que desmonta pseudociência em contexto português — ferramenta de referência para literacia científica aplicada.",12,"2026-03-13 14:51:21.666717+00",,
18ab811d-84c0-4613-9d50-90f1eae44772,https://www.apa.org/topics/journalism-facts/misinformation-disinformation,"Misinformation and Disinformation",APA,desinformacao,"Guia da APA que distingue misinformation de disinformation e apresenta o que a psicologia sabe sobre combater cada uma.",15,"2026-03-13 14:51:21.666717+00",,
b1fb1e8a-2e58-4aab-af52-ac186083f826,https://www.researchgate.net/publication/385618645_Evolucao_dos_cuidados_de_saude_primarios_em_Portugal_licoes_aprendidas_e_perspetivas_futuras,"Evolução dos CSP em Portugal",ResearchGate,cuidados_saude_primarios,"Análise académica da trajectória dos CSP em Portugal: reformas, avanços e pontos de ruptura no acesso aos cuidados de proximidade.",19,"2026-03-13 14:51:21.666717+00",,
3115f871-4254-48d4-a741-8b3fc5790877,https://www.chlo.min-saude.pt/index.php/informacao-ao-utente/descomplicarcsp,"Descomplicar CSP","CHLO / SNS",cuidados_saude_primarios,"Recurso do Centro Hospitalar de Lisboa Ocidental que traduz os CSP para linguagem acessível ao cidadão.",20,"2026-03-13 14:51:21.666717+00",,
97010ba7-3a23-4eb6-9aa8-65316c176e75,https://www.publico.pt/interactivos/tiktok-desinformacao-saude-pernas-compridas/,"TikTok, desinformação e saúde: pernas compridas",Público,desinformacao,"Como o TikTok funciona como veículo de desinformação em saúde — o caso português e os mecanismos de propagação algorítmica.",3,"2026-03-13 09:04:48.804903+00",,
3c14ace2-75ad-4603-9041-f6ea1c76cfc6,https://www.ers.pt/media/e50by3ag/manual-boas-praticas-publicidade-saude.pdf,"Manual de Boas Práticas de Publicidade em Saúde",ERS,desinformacao,"Documento regulatório da ERS que define os limites da publicidade em saúde — referência para identificar comunicação enganosa.",17,"2026-03-13 14:51:21.666717+00",,
a566052d-2898-41a2-9b1e-a0791950c243,https://www.who.int/world-health-day/world-health-day-2019/fact-sheets/details/primary-health-care,"Primary Health Care",WHO,cuidados_saude_primarios,"Definição e princípios dos Cuidados de Saúde Primários segundo a OMS — base conceptual para o papel dos CSP na literacia em saúde.",18,"2026-03-13 14:51:21.666717+00",,
6c5dfdee-bcfe-4f6d-aab0-405410bcc5fc,https://www.publico.pt/2025/03/21/ciencia/ensaio/vacinas-nao-causam-autismo-nao-sao-precisos-estudos-2126533,"As vacinas não causam autismo",publico.pt,desinformacao,Público,0,"2026-03-13 16:15:08.195413+00",,
783d3982-1698-49fe-a709-4c84b44e86a0,https://www.publico.pt/2023/05/16/opiniao/opiniao/cura-vihsida-nao-existe-2049713,"A cura para o VIH/SIDA ainda não existe",publico.pt,desinformacao,Público,0,"2026-03-13 16:15:08.195413+00",,
7c7fce4c-fde7-4cb3-995b-0d5e19fd17f3,https://observador.pt/2025/09/24/verificacao-de-factos-demora-muito-tempo-a-responder-a-desinformacao-diz-investigadora/,"Verificação de factos demora a responder à desinformação",observador.pt,desinformacao,Observador,0,"2026-03-13 16:15:08.195413+00",,
f52afec0-82f4-440c-9972-7115c4f1643e,https://www.publico.pt/2025/12/11/impar/noticia/cientistas-alertam-conselhos-medicos-influenciadores-sao-perigosos-2157741,"Cientistas alertam: conselhos médicos de influenciadores são perigosos",publico.pt,desinformacao,Público,0,"2026-03-13 16:15:08.195413+00",,
48392bc7-6c3a-4a96-bcba-c1c3dc5ef06f,https://www.frontiersin.org/journals/communication/articles/10.3389/fcomm.2025.1560936/full,"Unravelling the Infodemic: A Systematic Review of Misinformation Dynamics during COVID-19","Frontiers in Communication, 2025",comunicacao_cientifica,"Revisão sistemática de 76 estudos: conteúdos emocionais propagam-se mais depressa porque plataformas priorizam engagement em detrimento da precisão.",103,"2026-03-13 15:05:25.845307+00",,
6280e89f-3d8e-4b98-85ab-1feca7446c42,https://pmc.ncbi.nlm.nih.gov/articles/PMC7532328/,"Where We Go From Here: Health Misinformation on Social Media","American Journal of Public Health / PMC",comunicacao_cientifica,"Falsidades espalham-se mais depressa e longe do que informação precisa — drivers psicossociais da aceitação de desinformação em saúde.",104,"2026-03-13 15:05:25.845307+00",,
447320bd-0700-42af-9854-0512df31bda3,https://pmc.ncbi.nlm.nih.gov/articles/PMC7411529/,"Science-Related Populism: Conceptualizing Populist Demands Toward Science","Public Understanding of Science / PMC, 2020 — Mede & Schäfer",comunicacao_cientifica,"Base conceptual do populismo científico: apoiantes de partidos populistas têm menor confiança em universidades e peritos.",105,"2026-03-13 15:05:25.845307+00",,
3a616730-8ee7-4cd7-9629-1c407813fb84,https://academic.oup.com/ijpor/article/37/1/edae056/8069303,"Populist Attitudes and Misinformation Challenging Trust: The Case of Turkey","International Journal of Public Opinion Research, Oxford, 2024",comunicacao_cientifica,"A estratégia populista apresenta cientistas como élite desconectada — modelo de análise para dinâmicas como Chega e VOX.",106,"2026-03-13 15:05:25.845307+00",,
10ec246a-e63e-4c5a-9c45-4573f49356ba,https://www.tandfonline.com/doi/full/10.1080/2474736X.2022.2159847,"Populist Attitudes Towards Politics and Science: How Do They Differ?","Journal of Science Communication, 2023",comunicacao_cientifica,"Populismo político e científico como fenómenos distintos mas correlacionados — apoiantes de partidos populistas de direita são mais céticos face à vacinação.",107,"2026-03-13 15:05:25.845307+00",,
ed87a576-f2fb-4e6f-8098-2b7e3a2f912a,https://en.unesco.org/inclusivepolicylab/analytics/rethink-science-communication-post-pandemic-era,"Rethink Science Communication for the Post-Pandemic Era","UNESCO / Niels G. Mede, 2023",comunicacao_cientifica,"Simplesmente fornecer mais informação científica ao público não resolve a desconfiança — é preciso repensar a comunicação científica além do modelo deficit.",108,"2026-03-13 15:05:25.845307+00",,
9d3e0a24-7f0a-4e8c-996a-3c969bde8f75,https://pmc.ncbi.nlm.nih.gov/articles/PMC10654955/,"Countering Science-Related Populist Speech","Frontiers in Communication / PMC, 2023",comunicacao_cientifica,"A abertura e comunicação não paternalista sobre ciência é a melhor defesa contra o populismo científico.",109,"2026-03-13 15:05:25.845307+00",,
a43f2059-f1e9-489d-8295-2a4917d5a6df,https://www.sciencedirect.com/science/article/abs/pii/S0738399123001325,"The Use of Narrative in Science and Health Communication: A Scoping Review","Patient Education and Counseling, 2023",comunicacao_cientifica,"Mensagens narrativas são mais emocionalmente envolventes que as factuais e criam abertura à informação ao atrasar a formulação de contra-argumentos.",110,"2026-03-13 15:05:25.845307+00",,
599c58f1-e413-4f94-a9aa-297213be7544,https://pmc.ncbi.nlm.nih.gov/articles/PMC7962859/,"Using Narrative Evidence to Convey Health Information on Social Media: The Case of COVID-19","JMIR Public Health / PMC, 2021",comunicacao_cientifica,"Em vez de estatísticas áridas, histórias pessoais introduzem emoções e dilemas que tornam a comunicação de saúde contextual e acessível nas redes sociais.",111,"2026-03-13 15:05:25.845307+00",,
88c01d9e-c627-42db-8a37-3175cb9dac69,https://www.tandfonline.com/doi/full/10.1080/07359683.2025.2587309,"Blending Emotion and Logic in Health Messaging Strategy","Journal of Health Communication, 2025",comunicacao_cientifica,"Apelos emocionais puros são mais memoráveis que abordagens mistas — conteúdo visual autêntico restabelece confiança num clima de ceticismo científico.",112,"2026-03-13 15:05:25.845307+00",,
